input,translation
A0A0A6YYK7,R-HSA-3000157
A0A0A6YYK7,R-HSA-192823
A0A0A6YYK7,R-HSA-1474228
A0A0A6YYK7,R-HSA-113418
A0A0A6YYK7,R-HSA-3134975
A0A0C4DH25,R-HSA-9018519
A0A0C4DH25,R-HSA-202424
A0A0C4DH25,R-HSA-983168
A0A0C4DH25,R-HSA-1362300
A0A0C4DH25,R-HSA-8951664
A0A0C4DH25,R-HSA-6794361
A0A0C4DH25,R-HSA-3769402
A0A0C4DH25,R-HSA-549127
A0A0C4DH25,R-HSA-375276
A0A0C4DH25,R-HSA-416476
A0A0C4DH25,R-HSA-389957
A0A0C4DH25,R-HSA-9755511
A0A0C4DH25,R-HSA-70350
A0A0C4DH25,R-HSA-3065678
A0A0C4DH25,R-HSA-9660821
A0A0C4DH25,R-HSA-3359467
A0A0C4DH25,R-HSA-1650814
A0A0C4DH25,R-HSA-72163
A0A0C4DH25,R-HSA-2871809
A0A0C4DH25,R-HSA-9664422
A0A0C4DH25,R-HSA-110331
A0A0C4DH25,R-HSA-6785807
A0A0C4DH25,R-HSA-6811436
A0A0C4DH25,R-HSA-75815
A0A0C4DH25,R-HSA-429593
A0A0C4DH25,R-HSA-9725370
A0A0C4DH73,R-HSA-909733
A0A0C4DH73,R-HSA-9690406
A0A0C4DH73,R-HSA-191859
A0A0C4DH73,R-HSA-76066
A0A0C4DH73,R-HSA-75953
A0A0C4DH73,R-HSA-202733
A0A0C4DH73,R-HSA-380108
A0A0C4DH73,R-HSA-6814122
A0A0C4DH73,R-HSA-442380
A0A0C4DH73,R-HSA-3000178
A0A0C4DH73,R-HSA-2454202
A0A0C4DH73,R-HSA-3371453
A0A0C4DH73,R-HSA-9690406
A0A0C4DH73,R-HSA-2467813
A0A0C4DH73,R-HSA-140342
A0A0C4DH73,R-HSA-205017
A0A0C4DH73,R-HSA-380270
A0A0C4DH73,R-HSA-194313
A0A0C4DH73,R-HSA-3000171
A0A0C4DH73,R-HSA-3108214
A0A0C4DH73,R-HSA-5617472
A0A0C4DH73,R-HSA-1236974
A0A0C4DH73,R-HSA-5621480
A0A0C4DH73,R-HSA-6811438
A0A0C4DH73,R-HSA-73614
A0A0C4DH73,R-HSA-5663220
A0A183,R-HSA-425366
A0AVF1,R-HSA-379716
A0AVF1,R-HSA-5654700
A0AVI4,R-HSA-5689880
A0AVK6,R-HSA-1855183
A0AVT1,R-HSA-156584
A0AVT1,R-HSA-5694530
A0AVT1,R-HSA-69017
A0FGR8,R-HSA-68877
A0FGR9,R-HSA-1358803
A0JLT2,R-HSA-193807
A0JLT2,R-HSA-8950505
A0JLT2,R-HSA-211733
A0JNW5,R-HSA-8939902
A0M8Q6,R-HSA-3928662
A0M8Q6,R-HSA-5576890
A0M8Q6,R-HSA-9022702
A0M8Q6,R-HSA-9694548
A0M8Q6,R-HSA-6794361
A0M8Q6,R-HSA-3232118
A0M8Q6,R-HSA-418889
A0M8Q6,R-HSA-202424
A0M8Q6,R-HSA-110330
A0M8Q6,R-HSA-140837
A0M8Q6,R-HSA-69205
A0M8Q6,R-HSA-1236977
A0M8Q6,R-HSA-3899300
A0M8Q6,R-HSA-9664565
A0M8Q6,R-HSA-9008059
A0M8Q6,R-HSA-9010553
A0M8Q6,R-HSA-201722
A0M8Q6,R-HSA-163560
A0M8Q6,R-HSA-5607761
A0M8Q6,R-HSA-416476
A0M8Q6,R-HSA-1461973
A0M8Q6,R-HSA-1592389
A0M8Q6,R-HSA-8951664
A0M8Q6,R-HSA-9013508
A0M8Q6,R-HSA-4608870
A0M8Q6,R-HSA-1222556
A0MZ66,R-HSA-2871837
A0PJK1,R-HSA-2730905
A1A4S6,R-HSA-9009391
A1A4S6,R-HSA-9648025
A1A4S6,R-HSA-442720
A1A4S6,R-HSA-418555
A1A580,R-HSA-9010553
A1A5B4,R-HSA-164944
A1E959,R-HSA-174154
A1IGU5,R-HSA-1502540
A1IGU5,R-HSA-1632852
A1L190,R-HSA-5357956
A1L390,R-HSA-9679191
A1L390,R-HSA-975144
A1L390,R-HSA-437239
A1L390,R-HSA-6811558
A1L390,R-HSA-9013957
A1L3X0,R-HSA-425366
A1L4H1,R-HSA-373752
A2KUC3,R-HSA-912694
A2KUC3,R-HSA-977606
A2KUC3,R-HSA-2672351
A2KUC3,R-HSA-392851
A2KUC3,R-HSA-75153
A2KUC3,R-HSA-8875555
A2KUC3,R-HSA-5663213
A2KUC3,R-HSA-3371497
A2KUC3,R-HSA-186797
A2KUC3,R-HSA-9013404
A2KUC3,R-HSA-72689
A2KUC3,R-HSA-418594
A2KUC3,R-HSA-6809371
A2KUC3,R-HSA-8875555
A2KUC3,R-HSA-1251932
A2KUC3,R-HSA-1989781
A2KUC3,R-HSA-5673001
A2KUC3,R-HSA-5676594
A2KUC3,R-HSA-6798695
A2KUC3,R-HSA-8854050
A2KUC3,R-HSA-9710421
A2KUC3,R-HSA-9617324
A2KUC3,R-HSA-9033241
A2KUC3,R-HSA-5620912
A2KUC3,R-HSA-5696394
A2KUC3,R-HSA-1834949
A2NJV5,R-HSA-9609523
A2NJV5,R-HSA-69017
A2NJV5,R-HSA-611105
A2NJV5,R-HSA-5654693
A2NJV5,R-HSA-5603041
A2NJV5,R-HSA-5610787
A2NJV5,R-HSA-210746
A2NJV5,R-HSA-4641258
A2NJV5,R-HSA-216083
A2NJV5,R-HSA-9664422
A2NJV5,R-HSA-380270
A2NJV5,R-HSA-9027277
A2NJV5,R-HSA-9664422
A2NJV5,R-HSA-2132295
A2NJV5,R-HSA-114604
A2NJV5,R-HSA-1433557
A2NJV5,R-HSA-425381
A2NJV5,R-HSA-180534
A2NJV5,R-HSA-611105
A2NJV5,R-HSA-9633012
A2NJV5,R-HSA-163615
A2NJV5,R-HSA-156902
A2NJV5,R-HSA-5676590
A2NJV5,R-HSA-9752946
A2NJV5,R-HSA-5668541
A2NJV5,R-HSA-69205
A2NXD2,R-HSA-9627069
A2NXD2,R-HSA-170822
A2NXD2,R-HSA-9610379
A2NXD2,R-HSA-6791226
A2NXD2,R-HSA-9013507
A2NXD2,R-HSA-445095
A2NXD2,R-HSA-6804115
A2NXD2,R-HSA-2029482
A2NXD2,R-HSA-2022870
A2NXD2,R-HSA-975956
A2NXD2,R-HSA-204005
A2NXD2,R-HSA-9755511
A2NXD2,R-HSA-9674555
A2NXD2,R-HSA-9754189
A2NXD2,R-HSA-141444
A2NXD2,R-HSA-388841
A2NXD2,R-HSA-449836
A2NXD2,R-HSA-5610785
A2NXD2,R-HSA-8854050
A2NXD2,R-HSA-6811434
A2NXD2,R-HSA-977443
A2NXD2,R-HSA-110330
A2NXD2,R-HSA-1236394
A2NXD2,R-HSA-75953
A2NXD2,R-HSA-5358606
A2NXD2,R-HSA-9709603
A2RRD8,R-HSA-418594
A2RRP1,R-HSA-2871809
A2RU49,R-HSA-9664422
A2RUC4,R-HSA-977606
A2RUS2,R-HSA-2467813
A2VDF0,R-HSA-9613829
A2VEC9,R-HSA-1268020
A2VEC9,R-HSA-1474151
A3KFT3,R-HSA-69273
A4D1E1,R-HSA-1433557
A4D1P6,R-HSA-2219530
A4D1S5,R-HSA-1474228
A4D2G3,R-HSA-416476
A4D2G3,R-HSA-9033241
A4D2G3,R-HSA-6807878
A4GXA9,R-HSA-428543
A4GXA9,R-HSA-2160916
A4UGR9,R-HSA-189451
A4UGR9,R-HSA-5663213
A5D6W6,R-HSA-189483
A5D8V6,R-HSA-5696400
A5D8V6,R-HSA-174084
A5D8V6,R-HSA-2173796
A5D8V6,R-HSA-111463
A5D8V6,R-HSA-5389840
A5LHX3,R-HSA-72163
A5LHX3,R-HSA-2730905
A5LHX3,R-HSA-202424
A5LHX3,R-HSA-72764
A5LHX3,R-HSA-8939902
A5LHX3,R-HSA-4419969
A5LHX3,R-HSA-9705462
A5LHX3,R-HSA-73780
A5LHX3,R-HSA-3371497
A5LHX3,R-HSA-9013149
A5LHX3,R-HSA-445355
A5LHX3,R-HSA-163685
A5LHX3,R-HSA-8876725
A5LHX3,R-HSA-264642
A5LHX3,R-HSA-1445148
A5LHX3,R-HSA-5654699
A5LHX3,R-HSA-4641262
A5LHX3,R-HSA-416476
A5LHX3,R-HSA-975144
A5LHX3,R-HSA-416482
A5LHX3,R-HSA-201722
A5LHX3,R-HSA-9609690
A5LHX3,R-HSA-2730905
A5LHX3,R-HSA-2219530
A5LHX3,R-HSA-3371497
A5LHX3,R-HSA-8935964
A5LHX3,R-HSA-456926
A5LHX3,R-HSA-168276
A5LHX3,R-HSA-2871796
A5LHX3,R-HSA-6791226
A5LHX3,R-HSA-6799198
A5LHX3,R-HSA-6783310
A5LHX3,R-HSA-9610379
A5LHX3,R-HSA-198933
A5LHX3,R-HSA-1660661
A5LHX3,R-HSA-5617472
A5LHX3,R-HSA-6782135
A5LHX3,R-HSA-5339716
A5LHX3,R-HSA-4086398
A5LHX3,R-HSA-75955
A5LHX3,R-HSA-1445148
A5LHX3,R-HSA-9679504
A5LHX3,R-HSA-9754189
A5LHX3,R-HSA-6798695
A5LHX3,R-HSA-674695
A5LHX3,R-HSA-1257604
A5LHX3,R-HSA-512988
A5LHX3,R-HSA-6807878
A5LHX3,R-HSA-5689880
A5LHX3,R-HSA-9610379
A5LHX3,R-HSA-9028335
A5LHX3,R-HSA-389357
A5PL33,R-HSA-9010553
A5PLK6,R-HSA-168271
A5PLK6,R-HSA-9752946
A5PLK6,R-HSA-418594
A5PLN9,R-HSA-1268020
A5X5Y0,R-HSA-186797
A5YKK6,R-HSA-983168
A5YKK6,R-HSA-162699
A5YM69,R-HSA-5389840
A5YM69,R-HSA-212676
A5YM72,R-HSA-199220
A6H8Y1,R-HSA-1236978
A6H8Y1,R-HSA-2142688
A6H8Y1,R-HSA-6802948
A6H8Y1,R-HSA-8957275
A6H8Y1,R-HSA-9665348
A6H8Y1,R-HSA-75953
A6H8Y1,R-HSA-3214858
A6NCV1,R-HSA-419037
A6NCW0,R-HSA-216083
A6NCW7,R-HSA-1169091
A6ND01,R-HSA-5685942
A6ND48,R-HSA-1236974
A6NDG6,R-HSA-5687128
A6NDH6,R-HSA-3000157
A6NDL8,R-HSA-9013404
A6NDX5,R-HSA-69091
A6NET4,R-HSA-9013026
A6NF89,R-HSA-9660821
A6NFC9,R-HSA-392170
A6NFH5,R-HSA-167200
A6NFK2,R-HSA-5083632
A6NFK2,R-HSA-2559580
A6NGB9,R-HSA-389957
A6NGB9,R-HSA-5357905
A6NGB9,R-HSA-8951664
A6NGB9,R-HSA-2467813
A6NGB9,R-HSA-167290
A6NGB9,R-HSA-75815
A6NGB9,R-HSA-389948
A6NGB9,R-HSA-456926
A6NGU5,R-HSA-69473
A6NGU5,R-HSA-1257604
A6NGU5,R-HSA-69601
A6NGY5,R-HSA-68877
A6NH00,R-HSA-196836
A6NH21,R-HSA-8948751
A6NHA9,R-HSA-6784531
A6NHC0,R-HSA-4608870
A6NHG9,R-HSA-418594
A6NHJ4,R-HSA-9762114
A6NHL2,R-HSA-936837
A6NHL2,R-HSA-442720
A6NHL2,R-HSA-2467813
A6NHL2,R-HSA-9013407
A6NHL2,R-HSA-416482
A6NHL2,R-HSA-212436
A6NHL2,R-HSA-2871809
A6NHL2,R-HSA-70895
A6NHL2,R-HSA-6798695
A6NHL2,R-HSA-391908
A6NHL2,R-HSA-73772
A6NHL2,R-HSA-2408557
A6NHL2,R-HSA-166058
A6NHL2,R-HSA-983170
A6NHL2,R-HSA-202733
A6NHL2,R-HSA-216083
A6NHL2,R-HSA-4420332
A6NHL2,R-HSA-5389840
A6NHL2,R-HSA-69202
A6NHL2,R-HSA-5610780
A6NHL2,R-HSA-5358749
A6NHL2,R-HSA-4420097
A6NHL2,R-HSA-982772
A6NHL2,R-HSA-6807878
A6NHL2,R-HSA-1660662
A6NHL2,R-HSA-9013418
A6NHL2,R-HSA-193048
A6NHL2,R-HSA-5620971
A6NHL2,R-HSA-6811436
A6NHL2,R-HSA-5362768
A6NHX0,R-HSA-9013422
A6NI28,R-HSA-9759194
A6NI28,R-HSA-5654693
A6NI28,R-HSA-110330
A6NI28,R-HSA-201681
A6NI28,R-HSA-5669034
A6NI73,R-HSA-194002
A6NIH7,R-HSA-9752946
A6NIJ9,R-HSA-2214320
A6NIX2,R-HSA-5389840
A6NIX2,R-HSA-72764
A6NJZ3,R-HSA-5601884
A6NK53,R-HSA-2428928
A6NK58,R-HSA-156902
A6NK59,R-HSA-8964038
A6NK59,R-HSA-190375
A6NKK0,R-HSA-9752946
A6NL08,R-HSA-5654700
A6NL26,R-HSA-432720
A6NM03,R-HSA-2500257
A6NM76,R-HSA-166016
A6NMB1,R-HSA-202430
A6NMS3,R-HSA-5576893
A6NMU1,R-HSA-187577
A6NMZ5,R-HSA-198933
A6NMZ7,R-HSA-9007892
A6NMZ7,R-HSA-9679504
A6NMZ7,R-HSA-9013026
A6NMZ7,R-HSA-5603041
A6NMZ7,R-HSA-216083
A6NMZ7,R-HSA-611105
A6NMZ7,R-HSA-2730905
A6NMZ7,R-HSA-5620922
A6NMZ7,R-HSA-9013409
A6NN14,R-HSA-6796648
A6NND4,R-HSA-877300
A6NND4,R-HSA-381771
A6NND4,R-HSA-114608
A6NNF4,R-HSA-8943724
A6NNM8,R-HSA-416476
A6NNZ2,R-HSA-9610379
A6NNZ2,R-HSA-9662361
A6NNZ2,R-HSA-111932
A6NNZ2,R-HSA-606279
A6NNZ2,R-HSA-4615885
A6NNZ2,R-HSA-6811558
A6NNZ2,R-HSA-9694548
A6NNZ2,R-HSA-141444
A6NNZ2,R-HSA-9670095
A6NNZ2,R-HSA-6804757
A6NNZ2,R-HSA-5663220
A6NNZ2,R-HSA-196791
A6NNZ2,R-HSA-525793
A6NNZ2,R-HSA-5620912
A6NNZ2,R-HSA-5358606
A6NNZ2,R-HSA-168325
A6NNZ2,R-HSA-202424
A6NNZ2,R-HSA-6805567
A6NNZ2,R-HSA-9617828
A6NNZ2,R-HSA-9614657
A6NNZ2,R-HSA-5579016
A6NNZ2,R-HSA-9018519
A6NNZ2,R-HSA-977068
A6NNZ2,R-HSA-5621480
A6NNZ2,R-HSA-68867
A6NNZ2,R-HSA-5610780
A6NNZ2,R-HSA-5628897
A6NNZ2,R-HSA-1474151
A6NP11,R-HSA-8866910
A6PVC2,R-HSA-456926
A7E2V4,R-HSA-2871809
A7KAX9,R-HSA-156827
A7KAX9,R-HSA-983168
A7KAX9,R-HSA-9010553
A7KAX9,R-HSA-422356
A7KAX9,R-HSA-6785631
A7KAX9,R-HSA-9619483
A7KAX9,R-HSA-9610379
A7KAX9,R-HSA-9687136
A7KAX9,R-HSA-112382
A7KAX9,R-HSA-72706
A7KAX9,R-HSA-5576893
A7KAX9,R-HSA-5603041
A7MBM2,R-HSA-400253
A7MBM2,R-HSA-1236977
A8CG34,R-HSA-2029482
A8CG34,R-HSA-8941858
A8CG34,R-HSA-69481
A8CG34,R-HSA-5625886
A8CG34,R-HSA-176187
A8CG34,R-HSA-9603798
A8CG34,R-HSA-373760
A8CG34,R-HSA-264642
A8CG34,R-HSA-418990
A8CG34,R-HSA-9672393
A8CG34,R-HSA-975957
A8CG34,R-HSA-9013423
A8CG34,R-HSA-9649948
A8CG34,R-HSA-9610379
A8CG34,R-HSA-9725370
A8CG34,R-HSA-5223345
A8CG34,R-HSA-6804756
A8CG34,R-HSA-2454202
A8CG34,R-HSA-156827
A8CG34,R-HSA-179409
A8CG34,R-HSA-5660668
A8CG34,R-HSA-416482
A8CG34,R-HSA-112303
A8CG34,R-HSA-975634
A8CG34,R-HSA-5617472
A8CG34,R-HSA-450408
A8CG34,R-HSA-912631
A8CG34,R-HSA-9604323
A8CG34,R-HSA-2151201
A8K0R7,R-HSA-2168880
A8K4G0,R-HSA-212300
A8K4G0,R-HSA-1362277
A8K7I4,R-HSA-6785807
A8K855,R-HSA-9616222
A8K8P3,R-HSA-69473
A8K8P3,R-HSA-9701192
A8K8P3,R-HSA-9694635
A8K8P3,R-HSA-71288
A8K8P3,R-HSA-216083
A8K8P3,R-HSA-9646399
A8K8P3,R-HSA-9752946
A8K8V0,R-HSA-71403
A8MPY1,R-HSA-418594
A8MQ27,R-HSA-75094
A8MQ27,R-HSA-1236394
A8MQ27,R-HSA-5659898
A8MQ27,R-HSA-9018519
A8MQ27,R-HSA-383280
A8MQ27,R-HSA-1221632
A8MT69,R-HSA-611105
A8MT69,R-HSA-1236978
A8MTJ3,R-HSA-380108
A8MTJ3,R-HSA-1592389
A8MTJ3,R-HSA-9704331
A8MTJ3,R-HSA-983170
A8MTJ3,R-HSA-73762
A8MTJ3,R-HSA-190377
A8MTJ3,R-HSA-380259
A8MTJ3,R-HSA-909733
A8MTJ3,R-HSA-8939902
A8MTJ3,R-HSA-5173105
A8MTJ3,R-HSA-3928665
A8MTJ3,R-HSA-9649948
A8MTJ3,R-HSA-168271
A8MTY0,R-HSA-444257
A8MTY7,R-HSA-182971
A8MTZ0,R-HSA-180689
A8MUK1,R-HSA-749476
A8MUV8,R-HSA-9734091
A8MUX0,R-HSA-9013149
A8MUZ8,R-HSA-6807878
A8MVA2,R-HSA-186763
A8MVX0,R-HSA-9616222
A8MVX0,R-HSA-1169408
A8MWA4,R-HSA-9634597
A8MX34,R-HSA-418555
A8MX76,R-HSA-6783310
A8MXD5,R-HSA-5627117
A8MXD5,R-HSA-450302
A8MXU0,R-HSA-456926
A8MXV4,R-HSA-9752946
A8MXV4,R-HSA-202424
A8MXV4,R-HSA-1169091
A8MXY4,R-HSA-3656237
A8MXZ3,R-HSA-9018519
A8MYU2,R-HSA-400253
A8MYZ6,R-HSA-2219530
A8MYZ6,R-HSA-112382
A8MYZ6,R-HSA-9018519
A8MYZ6,R-HSA-9664323
A8TX70,R-HSA-9664323
A8TX70,R-HSA-69231
A8TX70,R-HSA-69473
A8TX70,R-HSA-216083
A8TX70,R-HSA-73779
A8TX70,R-HSA-1236394
A8TX70,R-HSA-5389840
A8TX70,R-HSA-983170
A8TX70,R-HSA-163359
A9QM74,R-HSA-6783310
A9QM74,R-HSA-167238
A9YTQ3,R-HSA-6781827
A9YTQ3,R-HSA-389887
A9YTQ3,R-HSA-6802953
A9YTQ3,R-HSA-68877
A9YTQ3,R-HSA-499943
B0YJ81,R-HSA-3928662
B1AK53,R-HSA-611105
B1AK53,R-HSA-977606
B1NKT1,R-HSA-975956
B2RTY4,R-HSA-1296072
B2RTY4,R-HSA-9020558
B2RTY4,R-HSA-5368286
B4DX44,R-HSA-167172
B4DXR9,R-HSA-8983432
B6A8C7,R-HSA-190322
B7ZC32,R-HSA-198933
B7ZC32,R-HSA-5654688
C9J2P7,R-HSA-909733
C9JJH3,R-HSA-5357956
C9JLJ4,R-HSA-2871809
C9JPN9,R-HSA-167287
C9JR72,R-HSA-5083635
C9JR72,R-HSA-5668541
C9JRZ8,R-HSA-193368
C9JVI0,R-HSA-6785807
D6R901,R-HSA-68877
D6R9N7,R-HSA-983695
D6RA61,R-HSA-5619042
D6RBQ6,R-HSA-9752946
D6RCP7,R-HSA-983170
D6RJB6,R-HSA-446107
F5H8Q3,R-HSA-912526
F5H8R0,R-HSA-6791226
F5H8R6,R-HSA-209931
F5H8R6,R-HSA-2871837
F5H8S6,R-HSA-2219530
F5H991,R-HSA-168179
F5H9F9,R-HSA-3772470
F5H9F9,R-HSA-9609690
F5H9I4,R-HSA-9754189
F5H9N4,R-HSA-72695
F5H9N4,R-HSA-1483213
F5H9N9,R-HSA-5669034
F5H9T4,R-HSA-68952
F5HA06,R-HSA-6803211
F5HA10,R-HSA-9705671
F5HA10,R-HSA-9664422
F5HA93,R-HSA-1650814
F5HA93,R-HSA-749476
F5HAC7,R-HSA-211733
F5HAC7,R-HSA-111463
F5HAE6,R-HSA-3000178
F5HAM0,R-HSA-75955
F5HAR3,R-HSA-9648025
F5HAS7,R-HSA-2173796
F5HAY6,R-HSA-380259
F5HAY6,R-HSA-9013106
F5HAZ3,R-HSA-8951664
F5HAZ3,R-HSA-3214847
F5HB40,R-HSA-6796648
F5HB40,R-HSA-9037629
F5HB41,R-HSA-1222556
F5HB52,R-HSA-9013106
F5HB53,R-HSA-3247509
F5HB53,R-HSA-9702600
F5HBC6,R-HSA-196807
F5HBC6,R-HSA-9682706
F5HBR4,R-HSA-5654695
F5HBR4,R-HSA-201722
F5HBX1,R-HSA-5357905
F5HC14,R-HSA-449836
F5HC16,R-HSA-373080
F5HC33,R-HSA-2173795
F5HC71,R-HSA-5602498
F5HC71,R-HSA-1236977
F5HC79,R-HSA-8856828
F5HC97,R-HSA-8851708
F5HC97,R-HSA-170984
F5HCH8,R-HSA-159227
F5HCH8,R-HSA-202733
F5HCM1,R-HSA-9639288
F5HCP3,R-HSA-9679509
F5HCP3,R-HSA-6809371
F5HCU8,R-HSA-380972
F5HD03,R-HSA-2454202
F5HD27,R-HSA-5668541
F5HD92,R-HSA-2142753
F5HDC7,R-HSA-977606
F5HDC7,R-HSA-112308
F5HDK1,R-HSA-196025
F5HDM3,R-HSA-210990
F5HDM3,R-HSA-5358749
F5HDQ6,R-HSA-2168880
F5HDQ6,R-HSA-418592
F5HE05,R-HSA-5685939
F5HE12,R-HSA-1839130
F5HE12,R-HSA-8951664
F5HE44,R-HSA-606279
F5HE69,R-HSA-212436
F5HEA3,R-HSA-8936459
F5HEA3,R-HSA-68877
F5HEF3,R-HSA-4641262
F5HEN7,R-HSA-390651
F5HEN7,R-HSA-68962
F5HEN8,R-HSA-9008059
F5HEN8,R-HSA-437239
F5HET1,R-HSA-418594
F5HET4,R-HSA-1566948
F5HET4,R-HSA-6798695
F5HEU0,R-HSA-1169091
F5HF49,R-HSA-2029485
F5HF62,R-HSA-9687136
F5HF90,R-HSA-3371571
F5HFA5,R-HSA-2029482
F5HFB4,R-HSA-8868766
F5HFG3,R-HSA-212436
F5HFJ7,R-HSA-1799339
F5HFJ8,R-HSA-9703648
F5HFZ4,R-HSA-8873719
F5HFZ4,R-HSA-5693579
F5HG51,R-HSA-8849470
F5HG68,R-HSA-1799339
F5HG98,R-HSA-5673001
F5HG98,R-HSA-8873719
F5HGG3,R-HSA-5689877
F5HGG3,R-HSA-5389840
F5HGH8,R-HSA-212436
F5HGI9,R-HSA-425561
F5HGJ4,R-HSA-380320
F5HGJ4,R-HSA-8876198
F5HGP1,R-HSA-9009391
F5HGP1,R-HSA-2672351
F5HGQ8,R-HSA-5620912
F5HGT1,R-HSA-1655829
F5HGT1,R-HSA-9670095
F5HGU6,R-HSA-9020702
F5HGU6,R-HSA-162588
F5HH39,R-HSA-5654693
F5HHQ0,R-HSA-9705671
F5HHQ0,R-HSA-2161541
F5HHS3,R-HSA-389948
F5HHT4,R-HSA-167172
F5HI32,R-HSA-418597
F5HI85,R-HSA-9758274
F5HI87,R-HSA-442660
F5HI87,R-HSA-390648
F5HIG1,R-HSA-3000480
F5HIG1,R-HSA-2168880
F5HIN9,R-HSA-9664323
F5HIN9,R-HSA-70635
F7V995,R-HSA-110381
F7V996,R-HSA-168330
F7V999,R-HSA-5205685
I6L899,R-HSA-9010553
I6L899,R-HSA-5687128
O00115,R-HSA-3214841
O00116,R-HSA-380972
O00116,R-HSA-9660826
O00116,R-HSA-5693554
O00116,R-HSA-877300
O00139,R-HSA-8985801
O00139,R-HSA-198933
O00139,R-HSA-8873719
O00139,R-HSA-1799339
O00139,R-HSA-6783310
O00139,R-HSA-3769402
O00139,R-HSA-174084
O00139,R-HSA-5668541
O00139,R-HSA-917977
O00141,R-HSA-9013148
O00141,R-HSA-5617472
O00141,R-HSA-192823
O00141,R-HSA-380320
O00142,R-HSA-5654727
O00144,R-HSA-168303
O00148,R-HSA-5603027
O00148,R-HSA-6791226
O00148,R-HSA-72702
O00154,R-HSA-1300642
O00155,R-HSA-5205685
O00155,R-HSA-190373
O00159-3,R-HSA-6781827
O00159,R-HSA-933542
O00159,R-HSA-9662360
O00159,R-HSA-202424
O00159,R-HSA-427389
O00159,R-HSA-6805567
O00161,R-HSA-168325
O00161,R-HSA-2871837
O00161,R-HSA-5689880
O00161,R-HSA-6807505
O00161,R-HSA-2562578
O00161,R-HSA-5678895
O00161,R-HSA-2514853
O00161,R-HSA-418555
O00161,R-HSA-212300
O00161,R-HSA-159418
O00161,R-HSA-9755511
O00161,R-HSA-917977
O00167,R-HSA-9752946
O00168,R-HSA-5173214
O00168,R-HSA-8951430
O00168,R-HSA-201722
O00170,R-HSA-611105
O00170,R-HSA-198933
O00180,R-HSA-3371497
O00180,R-HSA-9649948
O00182,R-HSA-5218921
O00186,R-HSA-350054
O00186,R-HSA-381042
O00187-1,R-HSA-202733
O00187-1,R-HSA-9664323
O00187-1,R-HSA-9022702
O00187-1,R-HSA-9662360
O00189,R-HSA-6814122
O00194,R-HSA-73772
O00194,R-HSA-3656243
O00194,R-HSA-5368286
O00203,R-HSA-9705462
O00203,R-HSA-77346
O00204-1,R-HSA-3928664
O00204-2,R-HSA-430116
O00206,R-HSA-1296041
O00206,R-HSA-193144
O00206,R-HSA-6811558
O00206,R-HSA-8857538
O00206,R-HSA-6794361
O00206,R-HSA-8856825
O00206,R-HSA-6798695
O00206,R-HSA-1660661
O00206,R-HSA-1368108
O00206,R-HSA-73728
O00206,R-HSA-381771
O00206,R-HSA-212436
O00206,R-HSA-2029481
O00206,R-HSA-6811558
O00212,R-HSA-9664422
O00212,R-HSA-167287
O00213,R-HSA-5617833
O00217,R-HSA-5654726
O00217,R-HSA-6807878
O00219,R-HSA-447038
O00220,R-HSA-909733
O00220,R-HSA-381426
O00220,R-HSA-5389840
O00220,R-HSA-3560783
O00220,R-HSA-5663220
O00220,R-HSA-5656121
O00220,R-HSA-909733
O00220,R-HSA-4608870
O00221,R-HSA-933542
O00222,R-HSA-9013404
